Abroscopus albogularis
Acanthis flammea
Accipiter nisus
Acridotheres cristatellus
Acridotheres fuscus
Acridotheres ginginianus
Acridotheres grandis
Acridotheres javanicus
Acridotheres leucocephalus
Acridotheres tristis
Acrocephalus agricola
Acrocephalus bistrigiceps
Acrocephalus concinens
Acrocephalus dumetorum
Acrocephalus orientalis
Acrocephalus sorghophilus
Acrocephalus tangorum
Actinodura morrisoniana
Actitis hypoleucos
Aegithalos concinnus
Aegypius monachus
Aerodramus brevirostris
Aerodramus fuciphagus
Aethopyga christinae
Aethopyga gouldiae
Agapornis fischeri
Agapornis personatus
Agapornis roseicollis
Agropsar philippensis
Agropsar sturninus
Aix galericulata
Aix sponsa
Alauda arvensis
Alauda gulgula
Alaudala cheleensis
Alcedo atthis
Alcippe morrisonia
Alopochen aegyptiaca
Amaurornis phoenicurus
Anarhynchus alexandrinus
Anarhynchus atrifrons
Anarhynchus dealbatus
Anarhynchus leschenaultii
Anarhynchus mongolus
Anarhynchus veredus
Anas acuta
Anas crecca
Anas luzonica
Anas platyrhynchos
Anas zonorhyncha
Anous minutus
Anous stolidus
Anser albifrons
Anser anser
Anser cygnoides
Anser erythropus
Anser fabalis
Anser indicus
Anser serrirostris
Anthus cervinus
Anthus godlewskii
Anthus gustavi
Anthus hodgsoni
Anthus japonicus
Anthus pratensis
Anthus richardi
Anthus roseatus
Anthus rufulus
Anthus spinoletta
Anthus trivialis
Antigone canadensis
Antigone vipio
Aplonis panayensis
Apus nipalensis
Apus pacificus
Aquila chrysaetos
Aquila fasciata
Aquila heliaca
Ara ararauna
Ara chloropterus
Ara macao
Aratinga solstitialis
Arborophila crudigularis
Ardea alba
Ardea cinerea
Ardea coromanda
Ardea intermedia
Ardea purpurea
Ardenna carneipes
Ardenna grisea
Ardenna pacifica
Ardenna tenuirostris
Ardeola bacchus
Ardeola grayii
Ardeola speciosa
Arenaria interpres
Artamus leucorynchus
Arundinax aedon
Asio flammeus
Asio otus
Astur gentilis
Athene noctua
Aviceda leuphotes
Aythya affinis
Aythya baeri
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Aythya valisineria
Bambusicola sonorivox
Bambusicola thoracicus
Bombycilla garrulus
Bombycilla japonica
Botaurus cinnamomeus
Botaurus eurhythmus
Botaurus flavicollis
Botaurus sinensis
Botaurus stellaris
Brachypteryx goodfellowi
Brachypteryx leucophris
Branta bernicla
Branta hutchinsii
Bubo bubo
Bucephala clangula
Bulweria bulwerii
Butastur indicus
Buteo buteo
Buteo hemilasius
Buteo japonicus
Buteo lagopus
Butorides atricapilla
Cacatua alba
Cacatua galerita
Cacatua goffiniana
Cacomantis merulinus
Cairina moschata
Calandrella brachydactyla
Calandrella dukhunensis
Calcarius lapponicus
Calidris acuminata
Calidris alba
Calidris alpina
Calidris canutus
Calidris falcinellus
Calidris ferruginea
Calidris himantopus
Calidris mauri
Calidris melanotos
Calidris minuta
Calidris pugnax
Calidris pygmaea
Calidris ruficollis
Calidris subminuta
Calidris subruficollis
Calidris temminckii
Calidris tenuirostris
Calliope calliope
Calonectris leucomelas
Caprimulgus affinis
Caprimulgus jotaka
Carpodacus erythrinus
Carpodacus formosanus
Carpodacus roseus
Carpodacus vinaceus
Cecropis daurica
Centropus bengalensis
Centropus sinensis
Ceryle rudis
Ceyx erithaca
Chalcophaps indica
Charadrius hiaticula
Chlidonias hybrida
Chlidonias leucopterus
Chlidonias niger
Chloris sinica
Chloropsis hardwickii
Chroicocephalus brunnicephalus
Chroicocephalus genei
Chroicocephalus novaehollandiae
Chroicocephalus ridibundus
Chrysolophus amherstiae
Chrysolophus pictus
Ciconia boyciana
Ciconia nigra
Cinclus pallasii
Cinnyris ornatus
Circus aeruginosus
Circus cyaneus
Circus melanoleucos
Circus spilonotus
Cisticola exilis
Cisticola juncidis
Clamator coromandus
Clamator jacobinus
Clanga clanga
Clangula hyemalis
Coccothraustes coccothraustes
Collocalia marginata
Coloeus dauuricus
Columba janthina
Columba livia
Columba pulchricollis
Columba vitiensis
Copsychus malabaricus
Copsychus saularis
Coracina javensis
Corvus corone
Corvus frugilegus
Corvus macrorhynchos
Corvus splendens
Corvus torquatus
Coturnix japonica
Crithagra mozambica
Cuculus canorus
Cuculus micropterus
Cuculus optatus
Cuculus poliocephalus
Cuculus saturatus
Culicicapa ceylonensis
Curruca curruca
